datetime,sigai,bucket,index
2024-01-01 00:00:00,0.04109242,16:10 - 00:10,1126
2024-01-01 00:01:00,0.04108975,16:10 - 00:10,1126
2024-01-01 00:02:00,0.04108025,16:10 - 00:10,1126
2024-01-01 00:03:00,0.04107542,16:10 - 00:10,1126
2024-01-01 00:04:00,0.04107558,16:10 - 00:10,1126
2024-01-01 00:05:00,0.04107092,16:10 - 00:10,1126
2024-01-01 00:06:00,0.04107058,16:10 - 00:10,1126
2024-01-01 00:07:00,0.04134425,16:10 - 00:10,1126
2024-01-01 00:08:00,0.04159092,16:10 - 00:10,1126
2024-01-01 00:09:00,0.04178942,16:10 - 00:10,1126
2024-01-01 00:10:00,0.04187075,00:10 - 08:10,1127
2024-01-01 00:11:00,0.04192792,00:10 - 08:10,1127
2024-01-01 00:12:00,0.04203508,00:10 - 08:10,1127
2024-01-01 00:13:00,0.04218858,00:10 - 08:10,1127
2024-01-01 00:14:00,0.04219008,00:10 - 08:10,1127
2024-01-01 00:15:00,0.04232992,00:10 - 08:10,1127
2024-01-01 00:16:00,0.04240075,00:10 - 08:10,1127
2024-01-01 00:17:00,0.04248925,00:10 - 08:10,1127
2024-01-01 00:18:00,0.04264242,00:10 - 08:10,1127
2024-01-01 00:19:00,0.04270875,00:10 - 08:10,1127
2024-01-01 00:20:00,0.04265508,00:10 - 08:10,1127
2024-01-01 00:21:00,0.04271075,00:10 - 08:10,1127
2024-01-01 00:22:00,0.04273225,00:10 - 08:10,1127
2024-01-01 00:23:00,0.04275392,00:10 - 08:10,1127
2024-01-01 00:24:00,0.04280708,00:10 - 08:10,1127
2024-01-01 00:25:00,0.04284275,00:10 - 08:10,1127
2024-01-01 00:26:00,0.04283058,00:10 - 08:10,1127
2024-01-01 00:27:00,0.04277692,00:10 - 08:10,1127
2024-01-01 00:28:00,0.04279125,00:10 - 08:10,1127
2024-01-01 00:29:00,0.04278358,00:10 - 08:10,1127
2024-01-01 00:30:00,0.04276225,00:10 - 08:10,1127
2024-01-01 00:31:00,0.04271808,00:10 - 08:10,1127
2024-01-01 00:32:00,0.04267792,00:10 - 08:10,1127
2024-01-01 00:33:00,0.04260342,00:10 - 08:10,1127
2024-01-01 00:34:00,0.04253842,00:10 - 08:10,1127
2024-01-01 00:35:00,0.04250825,00:10 - 08:10,1127
2024-01-01 00:36:00,0.04253458,00:10 - 08:10,1127
2024-01-01 00:37:00,0.04255142,00:10 - 08:10,1127
2024-01-01 00:38:00,0.04256792,00:10 - 08:10,1127
2024-01-01 00:39:00,0.04260908,00:10 - 08:10,1127
2024-01-01 00:40:00,0.04262408,00:10 - 08:10,1127
2024-01-01 00:41:00,0.04263492,00:10 - 08:10,1127
2024-01-01 00:42:00,0.04261175,00:10 - 08:10,1127
2024-01-01 00:43:00,0.04255442,00:10 - 08:10,1127
2024-01-01 00:44:00,0.04249508,00:10 - 08:10,1127
2024-01-01 00:45:00,0.04246992,00:10 - 08:10,1127
2024-01-01 00:46:00,0.04245075,00:10 - 08:10,1127
2024-01-01 00:47:00,0.04242958,00:10 - 08:10,1127
2024-01-01 00:48:00,0.04237492,00:10 - 08:10,1127
2024-01-01 00:49:00,0.04230508,00:10 - 08:10,1127
2024-01-01 00:50:00,0.04227742,00:10 - 08:10,1127
2024-01-01 00:51:00,0.04225525,00:10 - 08:10,1127
2024-01-01 00:52:00,0.04224025,00:10 - 08:10,1127
2024-01-01 00:53:00,0.04222658,00:10 - 08:10,1127
2024-01-01 00:54:00,0.04225192,00:10 - 08:10,1127
2024-01-01 00:55:00,0.04225125,00:10 - 08:10,1127
2024-01-01 00:56:00,0.04229892,00:10 - 08:10,1127
2024-01-01 00:57:00,0.04232558,00:10 - 08:10,1127
2024-01-01 00:58:00,0.04234458,00:10 - 08:10,1127
2024-01-01 00:59:00,0.04233308,00:10 - 08:10,1127
2024-01-01 01:00:00,0.04230925,00:10 - 08:10,1127
2024-01-01 01:01:00,0.04227642,00:10 - 08:10,1127
2024-01-01 01:02:00,0.04224608,00:10 - 08:10,1127
2024-01-01 01:03:00,0.04226408,00:10 - 08:10,1127
2024-01-01 01:04:00,0.04226408,00:10 - 08:10,1127
2024-01-01 01:05:00,0.04223425,00:10 - 08:10,1127
2024-01-01 01:06:00,0.04222225,00:10 - 08:10,1127
2024-01-01 01:07:00,0.04219892,00:10 - 08:10,1127
2024-01-01 01:08:00,0.04218742,00:10 - 08:10,1127
