datetime,Sigai
2023-09-01 00:00:00,-0.00403417
2023-08-31 23:59:00,-0.00349908
2023-08-31 23:58:00,-0.00348608
2023-08-31 23:57:00,-0.00348908
2023-08-31 23:56:00,-0.00349358
2023-08-31 23:55:00,-0.00347641
2023-08-31 23:54:00,-0.00347558
2023-08-31 23:53:00,-0.00346225
2023-08-31 23:52:00,-0.00346408
2023-08-31 23:51:00,-0.00343675
2023-08-31 23:50:00,-0.00342975
2023-08-31 23:49:00,-0.00341308
2023-08-31 23:48:00,-0.00339358
2023-08-31 23:47:00,-0.00335158
2023-08-31 23:46:00,-0.00334041
2023-08-31 23:45:00,-0.00331941
2023-08-31 23:44:00,-0.00332008
2023-08-31 23:43:00,-0.00330508
2023-08-31 23:42:00,-0.00328891
2023-08-31 23:41:00,-0.00329091
2023-08-31 23:40:00,-0.00327724
2023-08-31 23:39:00,-0.00326075
2023-08-31 23:38:00,-0.00326208
2023-08-31 23:37:00,-0.00326408
2023-08-31 23:36:00,-0.00325008
2023-08-31 23:35:00,-0.00322958
2023-08-31 23:34:00,-0.00322908
2023-08-31 23:33:00,-0.00321291
2023-08-31 23:32:00,-0.00322208
2023-08-31 23:31:00,-0.00320241
2023-08-31 23:30:00,-0.00317941
2023-08-31 23:29:00,-0.00316158
2023-08-31 23:28:00,-0.00313441
2023-08-31 23:27:00,-0.00310158
2023-08-31 23:26:00,-0.00307025
2023-08-31 23:25:00,-0.00304958
2023-08-31 23:24:00,-0.00304958
2023-08-31 23:23:00,-0.00302508
2023-08-31 23:22:00,-0.00298358
2023-08-31 23:21:00,-0.00296458
2023-08-31 23:20:00,-0.00294108
2023-08-31 23:19:00,-0.00292508
2023-08-31 23:18:00,-0.00292591
2023-08-31 23:17:00,-0.00290725
2023-08-31 23:16:00,-0.00288658
2023-08-31 23:15:00,-0.00287458
2023-08-31 23:14:00,-0.00285674
2023-08-31 23:13:00,-0.00283575
2023-08-31 23:12:00,-0.00281608
2023-08-31 23:11:00,-0.00280075
2023-08-31 23:10:00,-0.00278608
2023-08-31 23:09:00,-0.00276925
2023-08-31 23:08:00,-0.00275191
2023-08-31 23:07:00,-0.00274258
2023-08-31 23:06:00,-0.00273291
2023-08-31 23:05:00,-0.00273358
2023-08-31 23:04:00,-0.00271858
2023-08-31 23:03:00,-0.00270191
2023-08-31 23:02:00,-0.00268324
2023-08-31 23:01:00,-0.00266425
2023-08-31 23:00:00,-0.00264825
2023-08-31 22:59:00,-0.00264858
2023-08-31 22:58:00,-0.00261524
2023-08-31 22:57:00,-0.00261358
2023-08-31 22:56:00,-0.00260408
2023-08-31 22:55:00,-0.00260241
2023-08-31 22:54:00,-0.00260241
2023-08-31 22:53:00,-0.00260241
2023-08-31 22:52:00,-0.00261424
2023-08-31 22:51:00,-0.00260225
2023-08-31 22:50:00,-0.00260258
2023-08-31 22:49:00,-0.00261174
2023-08-31 22:48:00,-0.00261174
2023-08-31 22:47:00,-0.00259608
2023-08-31 22:46:00,-0.00258791
2023-08-31 22:45:00,-0.00257708
2023-08-31 22:44:00,-0.00255424
2023-08-31 22:43:00,-0.00255424
2023-08-31 22:42:00,-0.00253924
2023-08-31 22:41:00,-0.00254158
2023-08-31 22:40:00,-0.00254158
2023-08-31 22:39:00,-0.00255241
2023-08-31 22:38:00,-0.00255241
2023-08-31 22:37:00,-0.00253825
2023-08-31 22:36:00,-0.00251624
2023-08-31 22:35:00,-0.00251974
2023-08-31 22:34:00,-0.00250158
2023-08-31 22:33:00,-0.00248508
2023-08-31 22:32:00,-0.00249174
2023-08-31 22:31:00,-0.00247741
2023-08-31 22:30:00,-0.00248891
2023-08-31 22:29:00,-0.00247575
2023-08-31 22:28:00,-0.00247575
2023-08-31 22:27:00,-0.00248791
2023-08-31 22:26:00,-0.00247991
2023-08-31 22:25:00,-0.00248674
2023-08-31 22:24:00,-0.00249741
2023-08-31 22:23:00,-0.00248091
2023-08-31 22:22:00,-0.00248158
2023-08-31 22:21:00,-0.00246208
2023-08-31 22:20:00,-0.00245741
2023-08-31 22:19:00,-0.00245975
2023-08-31 22:18:00,-0.00244275
2023-08-31 22:17:00,-0.00245124
2023-08-31 22:16:00,-0.00245758
2023-08-31 22:15:00,-0.00245741
2023-08-31 22:14:00,-0.00246158
2023-08-31 22:13:00,-0.00246091
2023-08-31 22:12:00,-0.00244758
2023-08-31 22:11:00,-0.00245175
2023-08-31 22:10:00,-0.00245474
2023-08-31 22:09:00,-0.00242258
2023-08-31 22:08:00,-0.00240608
2023-08-31 22:07:00,-0.00239791
2023-08-31 22:06:00,-0.00238025
2023-08-31 22:05:00,-0.00236158
2023-08-31 22:04:00,-0.00235958
2023-08-31 22:03:00,-0.00235691
2023-08-31 22:02:00,-0.00234208
2023-08-31 22:01:00,-0.00230474
2023-08-31 22:00:00,-0.00229374
2023-08-31 21:59:00,-0.00228858
2023-08-31 21:58:00,-0.00227691
2023-08-31 21:57:00,-0.00227591
2023-08-31 21:56:00,-0.00229624
2023-08-31 21:55:00,-0.00226708
2023-08-31 21:54:00,-0.00226558
2023-08-31 21:53:00,-0.00226358
2023-08-31 21:52:00,-0.00226375
2023-08-31 21:51:00,-0.00227825
2023-08-31 21:50:00,-0.00228574
2023-08-31 21:49:00,-0.00230208
2023-08-31 21:48:00,-0.00233175
2023-08-31 21:47:00,-0.00233191
2023-08-31 21:46:00,-0.00233725
2023-08-31 21:45:00,-0.00233924
2023-08-31 21:44:00,-0.00234624
2023-08-31 21:43:00,-0.00235441
2023-08-31 21:42:00,-0.00235441
2023-08-31 21:41:00,-0.00235708
2023-08-31 21:40:00,-0.00236641
2023-08-31 21:39:00,-0.00234208
2023-08-31 21:38:00,-0.00233574
2023-08-31 21:37:00,-0.00231858
2023-08-31 21:36:00,-0.00232325
2023-08-31 21:35:00,-0.00232658
2023-08-31 21:34:00,-0.00230791
2023-08-31 21:33:00,-0.00229008
2023-08-31 21:32:00,-0.00230674
2023-08-31 21:31:00,-0.00230141
2023-08-31 21:30:00,-0.00229525
2023-08-31 21:29:00,-0.00229241
2023-08-31 21:28:00,-0.00228075
2023-08-31 21:27:00,-0.00227641
2023-08-31 21:26:00,-0.00225341
2023-08-31 21:25:00,-0.00225308
2023-08-31 21:24:00,-0.00225458
2023-08-31 21:23:00,-0.00223675
2023-08-31 21:22:00,-0.00221958
2023-08-31 21:21:00,-0.00219041
2023-08-31 21:20:00,-0.00215991
2023-08-31 21:19:00,-0.00213141
2023-08-31 21:18:00,-0.00212858
2023-08-31 21:17:00,-0.00211191
2023-08-31 21:16:00,-0.00208041
2023-08-31 21:15:00,-0.00207241
2023-08-31 21:14:00,-0.00204024
2023-08-31 21:13:00,-0.00202741
2023-08-31 21:12:00,-0.00204074
2023-08-31 21:11:00,-0.00199608
2023-08-31 21:10:00,-0.00194791
