datetime,sigai
2023-05-01 00:00:00,0.00049944
2023-04-30 23:59:00,0.00314225
2023-04-30 23:58:00,0.00314125
2023-04-30 23:57:00,0.00314125
2023-04-30 23:56:00,0.00314391
2023-04-30 23:55:00,0.00315391
2023-04-30 23:54:00,0.00316591
2023-04-30 23:53:00,0.00316591
2023-04-30 23:52:00,0.00317358
2023-04-30 23:51:00,0.00316925
2023-04-30 23:50:00,0.00317758
2023-04-30 23:49:00,0.00319075
2023-04-30 23:48:00,0.00319075
2023-04-30 23:47:00,0.00320808
2023-04-30 23:46:00,0.00322008
2023-04-30 23:45:00,0.00323091
2023-04-30 23:44:00,0.00323091
2023-04-30 23:43:00,0.00324092
2023-04-30 23:42:00,0.00324158
2023-04-30 23:41:00,0.00324541
2023-04-30 23:40:00,0.00325375
2023-04-30 23:39:00,0.00325375
2023-04-30 23:38:00,0.00325741
2023-04-30 23:37:00,0.00326175
2023-04-30 23:36:00,0.00326175
2023-04-30 23:35:00,0.00327042
2023-04-30 23:34:00,0.00327625
2023-04-30 23:33:00,0.00328191
2023-04-30 23:32:00,0.00328975
2023-04-30 23:31:00,0.00328975
2023-04-30 23:30:00,0.00329491
2023-04-30 23:29:00,0.00329508
2023-04-30 23:28:00,0.00329658
2023-04-30 23:27:00,0.00329658
2023-04-30 23:26:00,0.00329875
2023-04-30 23:25:00,0.00329408
2023-04-30 23:24:00,0.00329175
2023-04-30 23:23:00,0.00329175
2023-04-30 23:22:00,0.00329858
2023-04-30 23:21:00,0.00329858
2023-04-30 23:20:00,0.00330291
2023-04-30 23:19:00,0.00330458
2023-04-30 23:18:00,0.00330458
2023-04-30 23:17:00,0.00331658
2023-04-30 23:16:00,0.00333891
2023-04-30 23:15:00,0.00335308
2023-04-30 23:14:00,0.00335308
2023-04-30 23:13:00,0.00336775
2023-04-30 23:12:00,0.00337425
2023-04-30 23:11:00,0.00337458
2023-04-30 23:10:00,0.00337458
2023-04-30 23:09:00,0.00337175
2023-04-30 23:08:00,0.00336825
2023-04-30 23:07:00,0.00336625
2023-04-30 23:06:00,0.00336625
2023-04-30 23:05:00,0.00335791
2023-04-30 23:04:00,0.00336341
2023-04-30 23:03:00,0.00336525
2023-04-30 23:02:00,0.00336041
2023-04-30 23:01:00,0.00336041
2023-04-30 23:00:00,0.00336958
2023-04-30 22:59:00,0.00337991
2023-04-30 22:58:00,0.00338375
2023-04-30 22:57:00,0.00339558
2023-04-30 22:56:00,0.00339558
2023-04-30 22:55:00,0.00340141
2023-04-30 22:54:00,0.00340358
2023-04-30 22:53:00,0.00340358
2023-04-30 22:52:00,0.00340575
2023-04-30 22:51:00,0.00341775
2023-04-30 22:50:00,0.00341375
2023-04-30 22:49:00,0.00341375
2023-04-30 22:48:00,0.00340675
2023-04-30 22:47:00,0.00341508
2023-04-30 22:46:00,0.00342475
2023-04-30 22:45:00,0.00342791
2023-04-30 22:44:00,0.00342791
2023-04-30 22:43:00,0.00343325
2023-04-30 22:42:00,0.00344191
2023-04-30 22:41:00,0.00345491
2023-04-30 22:40:00,0.00345491
2023-04-30 22:39:00,0.00345791
2023-04-30 22:38:00,0.00346291
2023-04-30 22:37:00,0.00346458
2023-04-30 22:36:00,0.00346458
2023-04-30 22:35:00,0.00345625
2023-04-30 22:34:00,0.00344875
2023-04-30 22:33:00,0.00344975
2023-04-30 22:32:00,0.00344975
2023-04-30 22:31:00,0.00345475
2023-04-30 22:30:00,0.00345741
2023-04-30 22:29:00,0.00344891
2023-04-30 22:28:00,0.00344891
2023-04-30 22:27:00,0.00343991
